"#","g#","Cover","Album","Streams","Daily"
"","1","","Un Verano Sin Ti Bad Bunny","17,353,348,134","9,023,938"
"","2","","Divide (÷) Ed Sheeran","15,163,152,797","3,935,420"
"","3","","Starboy The Weeknd","14,836,279,441","7,866,499"
"","4","","Hollywood's Bleeding Post Malone","13,104,991,374","4,964,758"
"","5","","Sour Olivia Rodrigo","13,016,713,848","7,023,180"
"","6","","After Hours The Weeknd","12,840,123,715","5,820,069"
"","7","","Dua Lipa Dua Lipa","12,704,023,139","4,653,994"
"","8","","Future Nostalgia Dua Lipa","12,701,665,304","5,749,838"
"","9","","beerbongs & bentleys Post Malone","11,963,334,781","2,322,090"
"","10","","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? Billie Eilish","11,355,218,246","3,777,199"
"","11","","? XXXTentacion","11,052,558,219","3,739,018"
"","12","","Lover Taylor Swift","11,051,892,985","8,502,837"
"","13","","Multiply (x) Ed Sheeran","10,856,473,576","2,483,344"
"","14","","Purpose Justin Bieber","10,426,861,319","3,220,650"
"","15","","Scorpion Drake","10,284,701,558","2,344,308"
"","16","","In The Lonely Hour - 10th Anniversary Edition Sam Smith","10,251,157,976","0"
"","17","","YHLQMDLG Bad Bunny","10,091,271,294","3,551,843"
"","18","","AM Arctic Monkeys","9,930,721,355","7,035,491"
"","19","","Views Drake","9,888,663,280","3,365,239"
"","20","","dont smile at me  Billie Eilish","9,785,432,948","4,813,070"
"","21","","Beauty Behind The Madness The Weeknd","9,628,977,241","3,595,448"
"","22","","Fine Line Harry Styles","9,604,516,579","3,100,017"
"","23","","Midnights Taylor Swift","9,512,020,352","6,144,221"
"","24","","Goodbye & Good Riddance Juice WRLD","9,321,208,539","3,320,070"
"","25","","96 Months Calvin Harris","9,309,648,241","5,378,159"
"","26","","Astroworld Travis Scott","9,257,059,459","4,576,914"
"","27","","Stoney Post Malone","9,169,604,150","2,011,763"
"","28","","Divinely Uninspired To A Hellish Extent Lewis Capaldi","8,962,749,359","3,872,739"
"","29","","In The Lonely Hour Sam Smith","8,924,973,693","2,088,412"
"","30","","SOS SZA","8,858,430,667","8,351,943"
"","31","","17 XXXTentacion","8,769,268,383","4,157,714"
"","32","","Doo-Wops & Hooligans Bruno Mars","8,598,162,506","5,462,597"
"","33","","Folklore Taylor Swift","8,532,692,734","7,921,967"
"","34","","Damn. Kendrick Lamar","8,452,386,527","4,526,811"
"","35","","Reputation Taylor Swift","8,415,796,423","5,593,351"
"","36","","1989 Taylor Swift","8,380,063,598","3,039,464"
"","37","","Justice Justin Bieber","8,363,470,588","3,146,686"
"","38","","Evolve Imagine Dragons","8,283,230,509","3,593,386"
"","39","","Harry's House Harry Styles","8,197,720,130","3,922,578"
"","40","","Born To Die Lana Del Rey","8,065,343,601","5,952,461"
"","41","","Planet Her Doja Cat","8,012,272,996","3,221,977"
"","42","","Shoot For The Stars, Aim For The Moon Pop Smoke","7,964,256,263","2,632,951"
"","43","","Thank U, Next Ariana Grande","7,937,550,870","2,318,662"
"","44","","F*ck Love The Kid Laroi","7,557,828,150","2,490,829"
"","45","","Shawn Mendes Shawn Mendes","7,485,394,157","1,793,183"
"","46","","The Eminem Show Eminem","7,364,151,432","3,945,489"
"","47","","Blurryface Twenty One Pilots","7,345,680,833","2,978,122"
"","48","","Night Visions Imagine Dragons","7,344,781,356","3,282,017"
"","49","","Anti Rihanna","7,322,141,653","3,532,501"
"","50","","21 Adele","7,301,168,187","5,235,147"
"","51","","More Life Drake","7,255,158,450","2,066,975"
"","52","","Teenage Dream Katy Perry","7,229,421,945","4,823,779"
"","53","","Illuminate Shawn Mendes","7,190,330,005","2,740,618"
"","54","","25 Adele","6,910,277,510","4,076,407"
"","55","","The Fame / The Fame Monster Lady Gaga","6,840,456,580","4,941,179"
"","56","","Dangerous Woman Ariana Grande","6,828,348,197","2,811,192"
"","57","","My Everything Ariana Grande","6,746,297,805","3,280,019"
"","58","","Hamilton Lin-Manuel Miranda & Various Artists","6,725,269,661","0"
"","59","","El Último Tour Del Mundo Bad Bunny","6,603,131,132","2,364,474"
"","60","","Legends Never Die Juice WRLD","6,465,060,911","1,972,616"
"","61","","V Maroon 5","6,347,370,264","2,867,808"
"","62","","Hozier Hozier","6,324,961,587","3,927,230"
"","63","","Unorthodox Jukebox Bruno Mars","6,305,141,275","4,492,528"
"","64","","Nine Track Mind Charlie Puth","6,281,931,469","-777,723,200"
"","65","","This Is Acting Sia","6,209,684,028","2,476,009"
"","66","","American Teen Khalid","6,206,815,379","1,481,975"
"","67","","Graduation Kanye West","6,189,491,606","4,121,719"
"","68","","Luv Is Rage 2 Lil Uzi Vert","6,177,965,712","2,640,374"
"","69","","Mañana Será Bonito Karol G","6,171,253,157","6,513,958"
"","70","","No.6 Collaborations Project Ed Sheeran","6,130,493,933","1,238,980"
"","71","","2014 Forest Hills Drive J. Cole","6,047,666,009","2,387,888"
"","72","","So Good Zara Larsson","6,035,448,462","1,768,906"
"","73","","Death Race For Love Juice WRLD","6,020,297,711","1,698,264"
"","74","","Equals (=) Ed Sheeran","6,009,197,409","2,124,811"
"","75","","X 100pre Bad Bunny","5,965,847,485","2,092,871"
"","76","","A Star Is Born Lady Gaga & Bradley Cooper","5,902,167,882","2,482,088"
"","77","","Speak Your Mind Anne-Marie","5,879,770,908","1,638,654"
"","78","","Blonde Frank Ocean","5,855,858,128","5,628,637"
"","79","","Nevermind Nirvana","5,853,626,352","3,409,264"
